Food_Name,Calories,Protein_g,Carbs_g,Fat_g,Diet_Type
Grilled Chicken Breast (200g),330,62,0,7,High Protein
Oatmeal with Banana & Honey,350,10,65,6,Balanced
Whey Protein Shake (1 scoop),120,24,3,1,High Protein
Sri Lankan Red Rice with Dhal,450,15,75,8,Balanced
Boiled Eggs (3 whole),234,18,2,15,Keto/High Protein
Pol Sambol with String Hoppers,400,8,55,18,High Carb
Tuna Salad with Olive Oil,320,28,12,16,Low Carb
Sweet Potato & Fish Curry,480,25,60,12,Balanced
Greek Yogurt with Mixed Berries,200,20,15,5,Low Calorie
Lentil Soup (Parippu),180,12,25,4,Vegan/Balanced
Chicken Kottu (Portion controlled),600,30,70,22,High Calorie
Baked Salmon with Asparagus,410,34,5,20,Keto/High Protein
Gotu Kola Sambol,50,2,8,1,Vegan/Low Calorie
Soya Meat Curry with Rice,380,22,50,10,Vegan/High Protein
Beef Steak (Lean 200g),500,55,0,25,High Protein
Avocado Toast on Whole Wheat,280,8,35,14,Vegan/Balanced
Chickpea (Kadala) Stir Fry,290,14,45,6,Vegan/High Protein
Green Smoothie (Spinach/Apple),150,4,30,1,Vegan/Low Calorie
Kurakkan Roti with Lunu Miris,310,10,55,5,Balanced
Quinoa and Roasted Veggies,340,12,50,8,Vegan/Balanced
Egg White Omelette (4 eggs),140,28,1,2,High Protein/Low Cal
Brown Rice with Chicken Curry,520,38,65,10,High Protein
Mutton Curry with Roti,650,42,48,28,High Calorie
Prawn Stir Fry with Vegetables,300,35,18,8,Low Carb/High Protein
Tofu Scramble with Veggies,220,18,12,10,Vegan/Balanced
Banana Oat Pancakes,380,12,68,8,Balanced/High Carb
Cottage Cheese with Pineapple,180,22,18,3,High Protein/Low Cal
Turkey Breast Wrap,350,32,30,8,High Protein
Black Bean Salad,260,14,40,5,Vegan/Balanced
Sardines on Whole Wheat Toast,290,26,22,10,High Protein
Mixed Nut Granola (50g),220,6,28,10,High Cal/Balanced
Vegetable Fried Rice (Small),420,9,68,12,High Carb
Fish Ambul Thiyal,280,30,5,14,Low Carb/High Protein
Jackfruit Curry with Rice,430,8,72,10,Vegan/High Carb
Milk Rice (Kiribath) with Curry,510,10,80,16,High Carb
Pea Protein Shake,110,20,5,1,Vegan/High Protein
Spinach & Mushroom Frittata,250,20,8,15,Keto/High Protein
Chicken Caesar Salad,380,34,18,20,High Protein
Pasta with Tuna & Tomato Sauce,490,28,65,10,Balanced
Whole Grain Bread with Peanut Butter,360,14,42,16,Balanced
Beef Bulgogi Bowl,560,45,52,16,High Protein
Papaya & Chia Seed Smoothie,180,6,36,4,Vegan/Low Calorie
Roasted Chickpeas (100g),360,19,45,6,Vegan/High Protein
Mackerel with Steamed Greens,370,32,4,22,Keto/High Protein
Sweet Corn & Bean Tacos,440,16,62,14,Vegan/High Carb
Greek Salad with Chicken,310,28,14,14,Low Carb/High Protein
Dates & Almond Energy Balls,280,8,42,10,Vegan/Balanced
Lamb Shank with Mashed Potato,680,52,38,32,High Calorie
Overnight Oats with Chia,390,14,60,10,Balanced
Tempeh Stir Fry,330,28,28,12,Vegan/High Protein
Low-Fat Yogurt Parfait,220,16,30,4,Low Calorie
Protein Pancakes (Pre-workout),420,30,48,12,High Protein/Balanced
Veggie Burger on Multigrain,450,22,58,14,Vegan/Balanced
Grilled Sea Bass with Lemon,290,32,2,15,Keto/Low Carb
Rice Cakes with Almond Butter,260,8,38,10,Low Calorie
Edamame & Brown Rice Bowl,400,22,60,8,Vegan/High Protein
Scrambled Eggs with Avocado,330,18,8,24,Keto/High Protein
Milo Protein Drink,250,12,38,5,Balanced
White Fish & Sweet Potato Mash,420,30,55,8,Balanced/High Protein
Jackfruit Pulled BBQ Sandwich,380,6,58,12,Vegan/High Carb
Beef & Vegetable Stew,510,40,35,20,High Protein/Balanced
Coconut Flour Pancakes,300,14,28,16,Keto/Balanced
Soba Noodles with Egg,370,18,55,8,Balanced
Hummus with Veggie Sticks,220,10,30,8,Vegan/Low Calorie
